排名,学校名称,类型,省份,分值,
550+,丽江师范学院,师范,云南,-,
550+,滇西科技师范学院,师范,云南,-,
550+,陕西学前师范学院,师范,陕西,-,
550+,营口理工学院,理工,辽宁,-,
550+,鄂尔多斯应用技术学院,综合,内蒙古,-,
550+,滇西应用技术大学,综合,云南,-,
550+,广西职业师范学院,师范,广西,-,
550+,江西飞行学院,综合,江西,-,
550+,安徽公安学院,政法,安徽,-,
550+,康复大学,医药,山东,-,
550+,河南体育学院,体育,河南,-,
550+,青海理工学院,理工,青海,-,
550+,山西能源学院,综合,山西,-,
550+,河北环境工程学院,综合,河北,-,
